plant_id_eia,technology_description,class_atb,cf_atb
60600,Solar Photovoltaic,6,0.2537975724560726
60601,Solar Photovoltaic,6,0.2537975724560726
60602,Solar Photovoltaic,6,0.2537975724560726
60603,Solar Photovoltaic,1,0.3202687659970471
60604,Solar Photovoltaic,7,0.2408794703868765
60605,Solar Photovoltaic,8,0.23163275150342633
60606,Solar Photovoltaic,8,0.23163275150342633
60607,Solar Photovoltaic,8,0.23163275150342633
60608,Solar Photovoltaic,8,0.23163275150342633
60609,Solar Photovoltaic,8,0.23163275150342633
60611,Solar Photovoltaic,6,0.2537975724560726
60612,Solar Photovoltaic,8,0.23163275150342633
60613,Solar Photovoltaic,8,0.23163275150342633
60614,Solar Photovoltaic,8,0.23163275150342633
60615,Solar Photovoltaic,8,0.23163275150342633
60616,Solar Photovoltaic,6,0.2537975724560726
60621,Solar Photovoltaic,8,0.23163275150342633
60622,Solar Photovoltaic,8,0.23163275150342633
60623,Solar Photovoltaic,6,0.2537975724560726
60624,Solar Photovoltaic,6,0.2537975724560726
60625,Solar Photovoltaic,8,0.23163275150342633
60626,Solar Photovoltaic,6,0.2537975724560726
60627,Solar Photovoltaic,6,0.2537975724560726
60628,Solar Photovoltaic,6,0.2537975724560726
60629,Solar Photovoltaic,6,0.2537975724560726
60630,Solar Photovoltaic,6,0.2537975724560726
60631,Solar Photovoltaic,9,0.22047669886675608
60632,Solar Photovoltaic,9,0.22047669886675608
60633,Solar Photovoltaic,6,0.2537975724560726
60634,Solar Photovoltaic,6,0.2537975724560726
60635,Solar Photovoltaic,6,0.2537975724560726
60636,Solar Photovoltaic,6,0.2537975724560726
60637,Solar Photovoltaic,6,0.2537975724560726
60638,Solar Photovoltaic,6,0.2537975724560726
60640,Solar Photovoltaic,9,0.22047669886675608
60644,Solar Photovoltaic,8,0.23163275150342633
60651,Solar Photovoltaic,6,0.2537975724560726
60652,Solar Photovoltaic,9,0.22047669886675608
60653,Solar Photovoltaic,9,0.22047669886675608
60654,Solar Photovoltaic,2,0.30974988165310763
60658,Solar Photovoltaic,5,0.26753870312354816
60659,Solar Photovoltaic,5,0.26753870312354816
60662,Solar Photovoltaic,8,0.23163275150342633
60663,Solar Photovoltaic,8,0.23163275150342633
60664,Solar Photovoltaic,8,0.23163275150342633
60665,Solar Photovoltaic,8,0.23163275150342633
60666,Solar Photovoltaic,8,0.23163275150342633
60667,Solar Photovoltaic,8,0.23163275150342633
60668,Solar Photovoltaic,8,0.23163275150342633
60669,Solar Photovoltaic,8,0.23163275150342633
60673,Solar Photovoltaic,7,0.2408794703868765
60677,Solar Photovoltaic,10,0.20237932814438855
60678,Solar Photovoltaic,3,0.2953626825189205
60679,Solar Photovoltaic,5,0.26753870312354816
