plant_id_eia,re_type,latitude,longitude
66355,solar,45.0,-123.0
64479,solar,45.0,-96.0
60534,solar,45.0,-94.0
60892,solar,45.0,-92.0
63894,solar,45.5,-69.0
63509,solar,46.0,-120.5
65942,solar,46.0,-93.0
61337,solar,46.5,-109.0
64446,solar,48.0,-122.0
6514498685515578827,onshore_wind,36.5,-95.0
-3532647978977930843,offshore_wind,30.0,-87.0
-5227409540172538488,offshore_wind,30.5,-81.0
1687584343954784485,offshore_wind,31.0,-81.0
2705345009744976565,offshore_wind,41.5,-87.5
4971325715207780305,solar,38.0,-100.0
-6746908404985940270,onshore_wind,38.5,-98.5
-1710444442163342714,onshore_wind,37.5,-97.5
-5297627015565492609,onshore_wind,38.0,-98.0
-5699904471589936778,onshore_wind,38.5,-97.5
5887726807498905387,offshore_wind,42.5,-71.0
-7575274053265362848,offshore_wind,41.5,-70.5
-7792133086402533764,offshore_wind,41.5,-70.0
3704377390127120582,offshore_wind,42.0,-83.5
-1477870818551974654,offshore_wind,41.5,-83.0
-2536499578450804681,onshore_wind,47.0,-94.0
-2865511487624053037,onshore_wind,38.5,-93.5
8412930805819509978,onshore_wind,37.0,-93.0
-5534115253295661289,onshore_wind,37.0,-93.5
-2365519670147806908,onshore_wind,40.5,-100.0
-8100971655723462351,onshore_wind,41.0,-100.5
3562615082334962435,onshore_wind,41.5,-96.5
7649348996033721542,onshore_wind,44.0,-71.0
-466515445729329696,onshore_wind,33.0,-103.0
955769111211547859,onshore_wind,41.5,-74.0
-8936088624472611112,onshore_wind,47.5,-101.5
-215995303685929430,solar,35.5,-95.5
-896467324716130175,onshore_wind,40.5,-77.5
-801631783342645446,onshore_wind,33.0,-96.5
4023782469980624471,onshore_wind,33.0,-96.0
3402792186031964662,onshore_wind,30.5,-98.0
3180163910705069987,onshore_wind,30.0,-98.0
-3835679977311040010,onshore_wind,33.5,-96.5
3865179218593828007,onshore_wind,33.5,-96.0
-1305441262185495571,onshore_wind,29.5,-99.0
946519246292634122,solar,42.5,-106.5
-3530916276993752780,offshore_wind,43.5,-82.5
9181196133566462025,onshore_wind,41.5,-100.5
-7075470440020091722,onshore_wind,44.0,-105.0
3212475969196592378,onshore_wind,40.0,-105.5
2918135452540075882,offshore_wind,39.5,-73.5
4457856635125668066,onshore_wind,41.5,-93.5
-3394464559788838865,offshore_wind,29.0,-95.0
-706554412109049816,offshore_wind,29.5,-94.5
8837372618805281327,onshore_wind,42.0,-78.0
-276472571031615230,onshore_wind,44.5,-74.5
8063377845731971681,onshore_wind,32.5,-102.5
6347438303110642121,onshore_wind,45.5,-108.0
3041450689865246750,offshore_wind,34.0,-78.0
64082,offshore_wind,39.0,-74.0
57996,onshore_wind,20.5,-156.5
56449,onshore_wind,21.0,-156.5
58000,onshore_wind,29.0,-100.0
9991128,onshore_wind,29.5,-91.5
