plant_id_eia,plant_name_eia,generator_id,technology_description,capacity_mw,latitude,longitude,balancing_authority_code_eia,state
9990246,G658,1,onshore_wind,20,45.579135,-95.432801,MISO,MN
9990247,G659,1,onshore_wind,50,47.142166,-101.309263,MISO,ND
9990248,G660,1,onshore_wind,50,47.605286,-92.399308,MISO,MN
9990249,G662,1,onshore_wind,100,45.689894,-101.113506,MISO,SD
9990250,G663,1,onshore_wind,20,44.410716,-96.278048,MISO,MN
9990251,G666,1,onshore_wind,250,40.608823,-87.300417,MISO,IN
9990252,G667,1,onshore_wind,13,43.691893,-95.129111,MISO,MN
9990253,G668,1,onshore_wind,100,45.422521,-96.38442,MISO,MN
9990254,G669,1,onshore_wind,200,43.695416,-92.749276,MISO,MN
9990255,G670,1,onshore_wind,200,43.678829,-93.934983,MISO,MN
9990256,G671,1,onshore_wind,200,43.672833,-93.313816,MISO,MN
9990257,G678,1,onshore_wind,99,43.037139,-89.389671,MISO,WI
9990258,G679,1,onshore_wind,9.89,40.508485,-88.842364,MISO,IL
9990259,G680,1,onshore_wind,20,44.727888,-95.919791,MISO,MN
9990260,G681,1,onshore_wind,44,43.672833,-93.313816,MISO,MN
9990261,G684,1,onshore_wind,20,44.016183,-95.180153,MISO,MN
9990262,G685,1,onshore_wind,20,45.107031,-94.499974,MISO,MN
9990263,G688,1,onshore_wind,24,44.027575,-95.761347,MISO,MN
9990264,G690,1,onshore_wind,200,46.115778,-98.478795,MISO,ND
9990265,G691,1,onshore_wind,50,43.595349,-90.803167,MISO,WI
9990266,G694,1,onshore_wind,62,40.947428,-90.206224,MISO,IL
9990267,G695,1,onshore_wind,200,43.373868,-93.711402,MISO,IA
9990268,G696,1,onshore_wind,50,46.936179,-97.20091,MISO,ND
9990269,G697,1,onshore_wind,21,46.425242,-95.713536,MISO,MN
9990270,G698,1,onshore_wind,150,40.490615,-92.98552,MISO,MO
9990271,G699,1,onshore_wind,250,45.643925,-96.974396,MISO,SD
9990272,G700,1,onshore_wind,18.9,44.430749,-92.70206,MISO,MN
9990273,G701,1,onshore_wind,105,41.374709,-90.114223,MISO,IL
9990274,G702,1,onshore_wind,110,43.388272,-93.245767,MISO,IA
9990275,G703,1,onshore_wind,1500,44.571992,-99.00243,MISO,SD
9990276,G704,1,onshore_wind,1500,44.571992,-99.00243,MISO,SD
9990277,G705,1,onshore_wind,2000,44.571992,-99.00243,MISO,SD
9990278,G706,1,onshore_wind,99,43.466828,-89.342991,MISO,WI
9990279,G713,1,onshore_wind,200,46.115778,-98.478795,MISO,ND
9990280,G715,1,onshore_wind,76,43.365156,-92.313669,MISO,IA
9990281,G716,1,onshore_wind,150,43.365156,-92.313669,MISO,IA
9990282,G721,1,onshore_wind,160,46.425242,-95.713536,MISO,MN
9990283,G722,1,onshore_wind,250,45.184093,-96.776067,MISO,SD
9990284,G724,1,onshore_wind,99,43.037139,-89.389671,MISO,WI
9990285,G727,1,onshore_wind,100,43.308267,-97.150367,MISO,SD
9990286,G728,1,onshore_wind,300,44.022332,-93.222635,MISO,MN
9990287,G729,1,onshore_wind,2.5,46.425242,-95.713536,MISO,MN
9990288,G730,1,onshore_wind,73.5,43.37349,-94.666903,MISO,IA
9990289,G731,1,onshore_wind,750,44.070804,-98.621022,MISO,SD
9990290,G734,1,onshore_wind,101,44.388943,-96.775495,MISO,SD
9990291,G735,1,onshore_wind,200,43.073604,-93.735209,MISO,IA
9990292,G736,1,onshore_wind,200,45.184093,-96.776067,MISO,SD
9990293,G737,1,onshore_wind,100,45.586837,-95.98635,MISO,MN
9990294,G738,1,onshore_wind,300,44.410716,-96.278048,MISO,MN
9990295,G739,1,onshore_wind,450,40.755639,-86.850423,MISO,IN
9990296,G740,1,onshore_wind,150,43.365156,-92.313669,MISO,IA
9990297,G742,1,onshore_wind,120,44.350455,-85.067209,MISO,MI
9990298,G743,1,onshore_wind,45,44.350455,-85.067209,MISO,MI
9990299,G744,1,onshore_wind,150,40.473942,-92.526649,MISO,MO
9990300,G745,1,onshore_wind,130,40.755639,-86.850423,MISO,IN
9990301,G746,1,onshore_wind,200,43.685934,-92.048736,MISO,MN
9990302,G747,1,onshore_wind,100,42.686352,-89.071451,MISO,WI
9990303,G749,1,onshore_wind,50,42.655097,-90.1204,MISO,WI
9990304,G750,1,onshore_wind,200,46.408098,-87.590233,MISO,MI
9990305,G751,1,onshore_wind,200,46.103995,-102.517517,MISO,ND
9990306,G752,1,onshore_wind,150,46.103995,-102.517517,MISO,ND
9990307,G753,1,onshore_wind,300,46.323862,-104.423017,MISO,MT
9990308,G754,1,onshore_wind,50,41.65258,-83.677016,MISO,OH
9990309,G755,1,onshore_wind,50,43.985292,-85.315561,MISO,MI
9990310,G756,1,onshore_wind,100.8,40.390754,-83.768095,MISO,OH
9990311,G757,1,onshore_wind,200,46.103995,-102.517517,MISO,ND
9990312,G759,1,onshore_wind,84.8,44.016183,-95.180153,MISO,MN
9990313,G760,1,onshore_wind,135,38.012374,-101.795546,MISO,KS
9990314,G762,1,onshore_wind,150.39,43.695416,-92.749276,MISO,MN
9990315,G763,1,onshore_wind,50,43.676966,-96.774725,MISO,SD
9990316,G764,1,onshore_wind,241.5,43.676966,-96.774725,MISO,SD
9990317,G766,1,onshore_wind,300,41.877033,-84.595522,MISO,MI
9990318,G767,1,onshore_wind,30,46.323862,-104.423017,MISO,MT
9990319,G768,1,onshore_wind,50,43.986156,-94.599966,MISO,MN
9990320,G769,1,onshore_wind,50,44.016183,-95.180153,MISO,MN
9990321,G770,1,onshore_wind,100,43.695879,-94.549583,MISO,MN
9990322,G771,1,onshore_wind,200,43.365156,-92.313669,MISO,IA
9990323,G772,1,onshore_wind,200,43.692187,-95.734382,MISO,MN
9990324,G773,1,onshore_wind,150,44.411707,-87.997111,MISO,WI
9990325,G774,1,onshore_wind,70,43.990884,-86.267525,MISO,MI
